feature,importance_mean,importance_std
conversions,76500.00946570732,3386.314327960751
industry_vertical,7514.023267947699,1259.8114082799536
income_bracket,4785.909250903369,824.4495155694385
creative_age_days,661.3942359486966,593.7006609658815
clicks,542.5659449788654,49.32231829635705
avg_session_duration_seconds,296.2495031302642,226.42510791686107
campaign_objective,289.2025749247834,318.95236813010945
hour_of_day,277.06669100261934,973.8870887232615
CTR,231.4739039701388,82.03831668551582
creative_emotion,225.97156217670272,447.63987974794236
pages_per_session,217.53005382246266,312.2196463201407
quality_score,148.80421732284884,77.31420032974152
ad_placement,127.34132037995224,241.50039120821637
creative_size,107.58131917628343,65.43169311207713
operating_system,77.86062031420879,322.9825292655386
target_audience_age,55.60421159245161,271.3390525136143
ad_copy_length,41.36127205440425,92.05060213605482
platform,40.78780206140364,368.61425502306
actual_cpc,0.0,0.0
CPC,0.0,0.0
